 (1.000000000000000000e+00+0.000000000000000000e+00j)  (0.000000000000000000e+00-1.116150866620924997e+00j)
 (9.922911893760835156e-01+0.000000000000000000e+00j)  (2.188642265155896216e-02-1.413980370245342844e+00j)
 (9.846418045134024410e-01+0.000000000000000000e+00j)  (5.392388589995001508e-02-1.741468889560885192e+00j)
 (9.770513873100171720e-01+0.000000000000000000e+00j)  (9.708826687218799489e-02-2.089471788384496431e+00j)
 (9.695194831954093706e-01+0.000000000000000000e+00j)  (1.516647130165716950e-01-2.446653608222296494e+00j)
 (9.620456411032586308e-01+0.000000000000000000e+00j)  (2.171277018336389142e-01-2.800143843963729395e+00j)
 (9.546294134444293089e-01+0.000000000000000000e+00j)  (2.920940256013321301e-01-3.136344566766923414e+00j)
 (9.472703560801656320e-01+0.000000000000000000e+00j)  (3.743572493926303757e-01-3.441815495158933924e+00j)
 (9.399680282954937516e-01+0.000000000000000000e+00j)  (4.610025428265963621e-01-3.704155707891280791e+00j)
 (9.327219927728276350e-01+0.000000000000000000e+00j)  (5.485914580765243187e-01-3.912803960477850840e+00j)
 (9.255318155657799029e-01+0.000000000000000000e+00j)  (6.333984396391219018e-01-4.059690576542786644e+00j)
 (9.183970660731736180e-01+0.000000000000000000e+00j)  (7.116755303316256720e-01-4.139691266866488029e+00j)
 (9.113173170132550238e-01+0.000000000000000000e+00j)  (7.799194068669327295e-01-4.150854520624696953e+00j)
 (9.042921443981042362e-01+0.000000000000000000e+00j)  (8.351156250541249548e-01-4.094396734227082391e+00j)
 (8.973211275082438876e-01+0.000000000000000000e+00j)  (8.749384628119498686e-01-3.974480452136391673e+00j)
 (8.904038488674436147e-01+0.000000000000000000e+00j)  (8.978903831400342206e-01-3.797808881106506718e+00j)
 (8.835398942177181691e-01+0.000000000000000000e+00j)  (9.033720628296639799e-01-3.573082723192111843e+00j)
 (8.767288524945184847e-01+0.000000000000000000e+00j)  (8.916812402266873772e-01-3.310372592438739048e+00j)
 (8.699703158021147020e-01+0.000000000000000000e+00j)  (8.639454743285608362e-01-3.020461784036908348e+00j)
 (8.632638793891673767e-01+0.000000000000000000e+00j)  (8.219995780934327145e-01-2.714210517214966423e+00j)
 (8.566091416244887569e-01+0.000000000000000000e+00j)  (7.682225096799333297e-01-2.401985001374959072e+00j)
 (8.500057039729899122e-01+0.000000000000000000e+00j)  (7.053506421013541194e-01-2.093184086031707025e+00j)
 (8.434531709718132708e-01+0.000000000000000000e+00j)  (6.362845907806190526e-01-1.795884250560617179e+00j)
 (8.369511502066497854e-01+0.000000000000000000e+00j)  (5.639053716174220465e-01-1.516611600110417735e+00j)
 (8.304992522882376216e-01+0.000000000000000000e+00j)  (4.909129523557233532e-01-1.260238489363309178e+00j)
 (8.240970908290433661e-01+0.000000000000000000e+00j)  (4.196966972993951828e-01-1.029993240957870482e+00j)
 (8.177442824201217597e-01+0.000000000000000000e+00j)  (3.522432630749160465e-01-8.275646814269748130e-01j)
 (8.114404466081545086e-01+0.000000000000000000e+00j)  (2.900836218023822299e-01-6.532790852636274348e-01j)
 (8.051852058726660655e-01+0.000000000000000000e+00j)  (2.342774328999117084e-01-5.063255148490751756e-01j)
