h;r;d;p;;;;
64;10;40;0.2257;19.2563;0.5315;19.6749;0.4186
64;10;34;0.3205;17.1632;0.9531;18.0005;0.8372
64;10;30;0.4051;15.4888;1.2265;16.7446;1.2558
64;10;26;0.5284;13.3957;1.1659;15.0702;1.6745
64;10;22;0.756;6.2792;2.1738;10.4654;4.1862
64;20;126;0.092;20.0936;0.3318;19.6749;-0.4186
64;20;110;0.121;19.6749;0.2893;19.2563;-0.4186
64;20;98;0.1517;19.2563;0.2635;18.8377;-0.4186
64;20;86;0.1986;18.8377;0.2398;18.4191;-0.4186
64;20;72;0.2832;18.0005;0.6122;17.1632;-0.8372
64;20;62;0.3775;16.326;1.506;16.326;0
64;20;54;0.498;14.2329;1.2905;15.0702;0.8372
64;20;48;0.627;10.0468;1.1638;13.3957;3.3489
64;20;42;0.836;6.2792;1.6471;10.4654;4.1862
64;30;126;0.2059;18.0005;0.5537;17.1632;-0.8372
64;30;110;0.2706;18.0005;0.4788;16.7446;-1.2558
64;30;98;0.3395;16.7446;0.4341;15.9074;-0.8372
64;30;86;0.4444;15.0702;0.3933;14.6515;-0.4186
64;30;72;0.6335;9.2095;1.061;11.3026;2.0931
64;30;62;0.8447;3.7675;3.2557;8.7909;5.0234
64;40;126;0.3658;16.326;0.8053;14.6515;-1.6745
64;40;122;0.3885;16.326;0.7759;14.6515;-1.6745
64;40;118;0.4174;16.326;0.7423;14.2329;-2.0931
64;40;108;0.4949;15.0702;0.678;13.3957;-1.6745
64;40;100;0.5775;11.7212;0.6302;12.1399;0.4186
64;40;94;0.6598;9.2095;0.5948;10.884;1.6745
64;40;88;0.7512;7.9537;0.5662;9.6282;1.6745
64;40;82;0.8629;5.0234;0.8421;7.5351;2.5117
64;50;126;0.5723;13.3957;1.1301;12.1399;-1.2558
64;50;122;0.6078;12.1399;1.083;11.3026;-0.8372
64;50;116;0.6776;9.6282;1.005;10.4654;0.8372
64;50;110;0.7522;5.8606;0.9439;9.2095;3.3489
64;50;102;0.8757;2.9303;0.8693;7.1165;4.1862
64;60;126;0.8231;4.1862;1.6114;7.5351;3.3489
64;60;124;0.852;3.7675;1.5612;7.1165;3.3489
64;60;122;0.8741;3.3489;1.5306;6.6979;3.3489
128;1;22;0.0096;23.8611;0.0777;23.8611;0
128;1;16;0.0179;23.8611;0.1567;23.8611;0
128;1;12;0.0333;23.0239;0.281;23.4425;0.4186
128;1;10;0.0444;23.0239;0.3881;23.4425;0.4186
128;1;8;0.0714;22.6052;0.6519;23.0239;0.4186
128;1;6;0.1333;21.3494;1.1193;22.1866;0.8372
128;1;4;0.3333;16.326;2.9632;19.2563;2.9303
128;3;54;0.0126;23.8611;0.124;23.8611;0
128;3;44;0.0191;23.8611;0.1061;23.8611;0
128;3;34;0.0325;23.4425;0.277;23.4425;0
128;3;28;0.0476;23.0239;0.3427;23.4425;0.4186
128;3;18;0.1111;21.768;1.074;22.6052;0.8372
128;3;14;0.1905;20.0936;1.6502;21.3494;1.2558
128;3;10;0.3556;16.326;3.0049;19.2563;2.9303
128;3;8;0.5714;11.3026;5.1683;15.9074;4.6048
128;5;86;0.0126;23.8611;0.0602;23.8611;0
128;5;76;0.0159;23.4425;0.0851;23.4425;0
128;5;66;0.0213;23.4425;0.1573;23.4425;0
128;5;58;0.0276;23.4425;0.3117;23.4425;0
128;5;46;0.0435;23.0239;0.26;23.4425;0.4186
128;5;38;0.0638;22.6052;0.3481;23.0239;0.4186
128;5;28;0.119;21.768;0.8001;22.6052;0.8372
128;5;20;0.2353;19.6749;1.6387;20.9308;1.2558
128;5;14;0.4762;13.8143;3.9604;17.5819;3.7675
128;10;126;0.023;23.0239;0.2731;23.0239;0
128;10;108;0.0311;23.0239;0.2362;23.0239;0
128;10;94;0.0415;23.0239;0.211;23.0239;0
128;10;70;0.074;22.1866;0.5137;22.1866;0
128;10;50;0.147;21.768;0.9056;22.1866;0.4186
