altura,radio,densidad,distancia,vs,delta_mic,delta_bulk,amp_mic,amp_bulk,densidad_nominal,Niter
10.0,2.0,0.1032,12.0,0.25,18.83770449416294,-0.8372313108516862,15760911168.203888,66120630741.16733,0.1,20
10.0,2.0,0.211,8.5,0.25,17.16324187245957,-0.8372313108516862,31508446208.18915,64795347385.84453,0.2,20
10.0,2.0,0.3095,7.0,0.25,15.070163595330353,-0.8372313108516862,47252352843.76427,63464918083.79703,0.3,20
10.0,2.0,0.4127,6.0,0.25,12.977085318201137,-0.4186156554258431,66145584183.68149,61867910966.72824,0.4,20
10.0,2.0,0.4976,5.5,0.25,11.302622696497764,-0.4186156554258431,78478147071.99522,60823851537.43733,0.5,20
10.0,2.0,0.6118,5.0,0.25,8.790928763942706,-0.4186156554258431,98419793293.79999,59134988021.63753,0.6,20
10.0,2.0,0.7222,4.5,0.25,6.2792348313876465,0.0,117574940851.7445,57535600399.043106,0.7,20
