altura,radio,densidad,distancia,vs,delta_mic,delta_bulk,amp_mic,amp_bulk,densidad_nominal,Niter
10.0,2.0,0.1032,12.0,0.25,14.232932284478666,-0.8372313108516862,4133716398.1760864,303607376666.24384,0.1,21
10.0,2.0,0.211,8.5,0.25,12.558469662775293,-0.8372313108516862,7716449071.609827,303312828155.5407,0.2,21
10.0,2.0,0.3095,7.0,0.25,11.302622696497764,-0.4186156554258431,12401688819.92627,302924151655.14954,0.3,21
10.0,2.0,0.4127,6.0,0.25,9.62816007479439,-0.4186156554258431,16535896805.608221,302580442189.6274,0.4,21
10.0,2.0,0.4976,5.5,0.25,8.372313108516863,-0.4186156554258431,18189737535.58536,302444087330.29736,0.5,21
10.0,2.0,0.6118,5.0,0.25,6.69785048681349,-0.4186156554258431,23150959638.816498,302030811326.5348,0.6,21
10.0,2.0,0.7222,4.5,0.25,5.023387865110117,0.0,30868323476.230457,301398550725.1957,0.7,21
